Unnamed: 0,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
943,CA,37.779281,-122.419236,94105,c:58944,San Francisco,San Francisco CA 94105,MoPub,1,9/9/2010,,9/1/2010,9/20/2012,-0.0219,2.0329,2.3151,3.1644,11,4,18500000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:58944,0,1,1,1,0,0,2.25,1,acquired
541,CA,34.043948,-118.468204,90025,c:3080,Los Angeles,,DailyStrength,1,4/1/2006,,5/18/2007,5/18/2007,1.1288,1.1288,1.0,2.6767,7,1,5000000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:3080,0,0,1,0,0,0,1.0,1,acquired
242,CA,37.779281,-122.419236,94105,c:16938,San Francisco,San Francisco CA 94105,BookFresh,1,1/1/2007,,7/28/2009,7/28/2009,2.5726,2.5726,2.4795,4.6685,7,1,500000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:16938,0,1,0,0,0,0,5.0,1,acquired
811,CA,37.748676,-122.415813,94110,c:4622,San Francisco,,Aardvark,1,7/1/2007,9/1/2011,1/1/2007,10/1/2008,-0.4959,1.2548,2.1726,4.6,21,2,6000000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:4622,0,1,1,0,0,0,4.0,1,acquired
1149,CA,37.758062,-122.418642,94110,c:9772,San Francisco,,Fluther,1,1/1/2007,,9/21/2009,9/21/2009,2.7233,2.7233,0.9151,6.3096,5,1,600000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:9772,0,1,0,0,0,0,7.0,1,acquired
187,CA,34.01052,-118.495981,60401,c:1612,Santa Monica,,Goodreads,1,1/15/2007,,11/1/2007,12/9/2009,0.7945,2.9014,3.0493,6.5233,11,2,2750000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:1612,0,1,1,0,0,0,4.0,1,acquired
618,CA,37.779281,-122.419236,94103,c:35236,San Francisco,San Francisco CA 94103,Chomp,1,9/9/2009,,11/1/2009,3/11/2010,0.1452,0.5014,0.4959,3.011,10,2,2565000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:35236,0,1,1,0,0,0,3.5,1,acquired
881,NY,40.750519,-73.993494,10001,c:52566,New York,New York NY 10001,Fondu,1,2/1/2010,,11/1/2011,11/1/2011,1.7479,1.7479,1.0,2.1096,4,1,575000,2,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:52566,0,1,0,0,0,0,6.0,0,acquired
299,NY,40.762674,-73.9821315,10019,c:18075,New York,,TheMarkets,1,1/1/2000,,7/12/2007,7/12/2007,7.5315,7.5315,10.7342,10.7342,2,1,30000000,1,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:18075,1,0,0,0,0,0,5.0,1,acquired
58,CA,37.55911,-122.303493,95054,c:12173,Santa Clara,,Sentrigo,1,10/1/2006,,5/8/2007,12/21/2010,0.6,4.2247,-0.7479,4.4767,9,3,9500000,2,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:12173,0,0,1,1,1,0,2.0,1,acquired
206,CA,37.783171,-122.392901,94107-4132,c:16289,San Francisco,,Arch Rock Corporation,1,1/1/2005,,10/1/2005,5/2/2007,0.7479,2.3315,2.0,2.0,6,2,15000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:16289,0,0,1,1,0,0,3.0,1,acquired
158,CA,37.400367,-121.985711,95054,c:15562,Santa Clara,,Plusmo,1,6/1/2006,,5/1/2008,5/1/2008,1.9178,1.9178,2.0027,2.0027,4,1,4410000,1,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:15562,0,0,1,0,0,0,1.0,1,acquired
1085,CA,37.788653,-122.401333,94105,c:8100,San Francisco,,Involver,1,1/1/2007,,9/2/2008,10/14/2010,1.6712,3.7863,4.6685,5.6849,11,3,11040000,2,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:8100,0,0,1,1,1,0,2.5,1,acquired
639,NY,40.73901,-73.997259,10011,c:3686,New York,New York NY 10011,Game Trust,1,1/1/2002,,6/1/2005,11/15/2005,3.4164,3.874,7.7534,7.7534,3,2,9000000,1,NY,0,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:3686,1,0,0,1,0,0,4.0,1,acquired
327,CA,37.55818,-122.276454,94404,c:196,Foster City,,Visible Path,1,1/1/2002,,3/1/2006,3/1/2006,4.1644,4.1644,5.5836,11.3918,5,2,24700000,5,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:196,0,0,1,1,0,0,4.0,1,acquired
87,CA,34.03423370000001,-118.4536137,90025,c:13277,Los Angeles,,GetBack,0,9/1/2007,11/22/2010,11/6/2008,11/6/2008,1.1836,1.1836,0.9178,0.9178,1,1,1700000,1,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:13277,0,0,1,0,0,0,1.0,0,closed
985,CA,37.835676,-122.263548,94609,c:63217,Oakland,Oakland CA 94609,Slipstream,0,6/1/2010,5/1/2013,8/31/2010,8/31/2010,0.2493,0.2493,0.0,0.7781,1,1,20000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:63217,0,1,0,0,0,0,1.0,0,closed
432,CA,37.5541073,-121.9756765,94538,c:2534,Fremont,,HipLogic,1,1/1/2005,,2/8/2008,12/2/2009,3.1041,4.9205,5.0027,8.3534,10,2,11500000,5,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:2534,0,0,1,1,0,0,2.5,1,acquired
882,CA,38.279431,-122.668452,94954,c:5264,Petaluma,,Dilithium Networks,0,1/1/2001,10/1/2012,4/23/2003,6/3/2010,2.3068,9.4247,4.4986,11.4164,12,7,98170000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:5264,1,0,0,1,1,1,5.2,1,closed
937,CA,37.7824533,-122.3879489,94107,c:58512,San Francisco,,Yobongo,1,1/1/2010,,3/23/2011,3/23/2011,1.2219,1.2219,0.7479,2.6849,2,1,1350000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:58512,0,1,0,0,0,0,10.0,1,acquired
601,CA,37.36883,-122.03635,94085,c:34028,Sunnyvale,Sunnyvale CA 94085,LikeList,0,1/1/2008,12/6/2012,12/15/2009,12/15/2009,1.9562,1.9562,1.0027,1.0027,5,1,5000000,1,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:34028,0,0,1,0,0,0,1.0,0,closed
828,CA,37.404788,-121.940842,95134,c:47587,San Jose,San Jose CA 95134,Infineta Systems,0,1/1/2008,1/1/2012,5/7/2010,6/6/2011,2.3479,3.4301,2.3562,4.0027,4,2,30000000,2,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:47587,0,0,1,1,0,0,2.5,1,closed
709,NY,40.730646,-73.986614,10013,c:40782,New York,New York NY 10013,Vizibility,1,7/1/2009,,3/24/2010,2/6/2013,0.7288,3.6055,1.589,4.1041,5,5,4705910,3,NY,0,1,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:40782,1,1,0,0,0,0,3.0,1,acquired
30,NY,40.743808,-73.983626,10016,c:1088,New York,,Tumblr,1,2/1/2007,,10/31/2007,1/1/2012,0.7452,4.9178,3.0438,6.8411,30,6,125250000,5,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:1088,1,0,1,1,1,1,3.5,1,acquired
502,CA,37.777741,-122.412198,94104,c:28428,San Francisco,,Recurve,1,8/1/2005,,9/23/2008,6/17/2010,3.1479,4.8795,5.0027,5.0027,5,2,14000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:28428,1,0,1,0,0,0,2.0,1,acquired
569,CA,37.512318,-122.20091399999998,94063,c:3187,Redwood City,,Replay Solutions,1,1/1/2004,,12/5/2006,8/18/2008,2.9288,4.6329,,,13,2,15200000,0,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:3187,0,0,1,1,0,0,2.0,1,acquired
216,NY,40.728425,-73.999882,10012,c:164922,New York,New York NY 10012,Turf Geography Club,0,1/1/2011,2/1/2013,8/15/2011,8/2/2012,0.6192,1.5863,,,2,2,890000,0,NY,0,1,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:164922,0,1,0,0,0,0,3.0,1,closed
1090,CA,37.779281,-122.419236,94108,c:81886,San Francisco,San Francisco CA 94108,skyrockit,0,1/1/2001,4/1/2012,7/12/2011,7/12/2011,10.5315,10.5315,,,0,1,2600000,0,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:81886,1,0,0,0,0,0,1.0,1,closed
46,CA,34.147047,-118.148896,91101,c:11507,Pasadena,,Cramster,1,1/1/2002,,9/25/2008,4/14/2010,6.737,8.2877,6.7534,6.7534,5,2,9000000,1,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:11507,0,0,1,1,0,0,1.0,0,acquired
286,CA,37.43841079999999,-121.9240273,95035,c:17775,Milpitas,,OpVista,0,1/1/2000,8/1/2009,6/22/2006,5/7/2007,6.4767,7.3507,5.0055,5.0055,2,2,43000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:17775,0,0,0,0,1,1,1.0,1,closed
115,CA,37.775196,-122.419204,94105,c:144,San Francisco,,Metaweb Technologies,1,1/1/2005,,3/1/2006,1/15/2008,1.1616,3.0384,3.2658,5.5397,7,2,57000000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:144,0,0,1,1,0,0,3.5,1,acquired
81,CA,37.78811500000001,-122.397141,94105,c:13046,San Francisco,,DocVerse,1,9/1/2007,,7/23/2008,7/23/2008,0.8932,0.8932,0.8329,4.2137,8,1,1300000,4,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:13046,0,1,0,0,0,0,4.0,1,acquired
691,CA,37.778613,-122.395289,94404,c:3962,San Mateo,,GuardianEdge Technologies,1,1/1/2002,,6/6/2005,7/23/2007,3.4301,5.5589,7.8384,7.8384,10,3,19500000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:3962,0,0,1,1,0,0,3.3333,1,acquired
196,CA,34.019657,-118.487549,90405,c:162116,Santa Monica,Santa Monica CA 90405,Gradient X,1,1/1/2012,,6/20/2012,6/20/2012,0.4685,0.4685,1.1041,1.6795,5,1,3750000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:162116,0,0,0,0,0,0,9.0,1,acquired
363,CA,37.76690900000001,-122.406676,94103,c:220,San Francisco,,Flixster,1,1/20/2006,,2/1/2006,4/4/2008,0.0329,2.2055,4.5151,6.9123,12,3,7175000,6,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:220,0,1,1,1,0,0,2.6667,1,acquired
894,CA,37.793148,-122.402567,94104,c:54,San Francisco,,Wesabe,0,12/1/2005,6/30/2010,2/1/2007,6/1/2007,1.1699,1.4986,0.0849,5.3863,3,2,4700000,4,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:54,0,1,1,0,0,0,1.5,1,closed
587,CA,33.97279,-118.427578,90094,c:3288,Playa Vista,Playa Vista CA 90094,WebVisible,0,1/1/2001,10/1/2011,9/1/2005,2/11/2010,4.6685,9.1178,9.7534,12.8027,33,3,37000000,4,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:3288,0,0,1,1,1,0,1.3333,1,closed
7,CA,37.7983181,-122.4000032,94111,c:10179,San Francisco,,GoodGuide,1,12/1/2007,,1/19/2009,8/26/2011,1.137,3.737,2.463,3.2164,14,3,14229998,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:10179,0,0,1,1,0,0,3.0,1,acquired
426,CA,34.142973,-118.140553,91105,c:25132,Pasadena,,FastSoft,1,1/1/2006,,6/11/2007,9/4/2012,1.4411,6.6795,2.0,2.0,7,4,5965000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:25132,1,0,1,0,0,0,1.0,0,acquired
1032,CA,37.465645,-121.932202,94538,c:72,Fremont,,GrandCentral,1,4/1/2006,,1/1/2006,1/1/2006,-0.2466,-0.2466,-0.4082,7.4548,9,1,4000000,4,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:72,0,0,1,0,0,0,1.0,0,acquired
523,NY,40.7566658,-73.9827553,10036,c:2972,New York,,Giant Realm,1,1/1/2007,,3/1/2008,5/8/2008,1.1644,1.3507,1.3507,3.3315,13,2,5500000,2,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:2972,0,0,1,0,0,0,2.0,1,acquired
267,CA,36.9397206,-121.7768449,95019-2901,c:17512,Freedom,,Appscio,0,1/1/2006,1/1/2011,3/20/2007,1/3/2009,1.2137,3.0082,,,4,2,7000000,0,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:17512,0,0,1,0,0,0,2.0,0,closed
437,NY,40.723652,-73.985281,10016,c:2566,New York,,Kluster,1,1/1/2008,,1/1/2008,1/1/2008,0.0,0.0,3.5918,4.3260000000000005,0,1,1000000,2,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:2566,0,1,0,0,0,0,1.0,1,acquired
770,NY,37.480999,-122.173887,10016,c:44,New York,,Jingle Networks,1,9/1/2005,,10/1/2005,12/28/2009,0.0822,4.3260000000000005,3.663,5.6110000000000015,12,7,88651133,5,NY,0,1,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:44,1,1,1,1,1,1,3.1667,1,acquired
708,CA,37.424298,-122.139809,94306,c:40762,Palo Alto,Palo Alto CA 94306,Immunet Corporation,1,7/1/2008,,11/1/2009,11/1/2009,1.337,1.337,1.3479,1.3479,3,1,2000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:40762,0,0,1,0,0,0,2.0,1,acquired
383,CA,37.779281,-122.419236,94105,c:23098,San Francisco,San Francisco CA 94105,Miyowa,1,4/14/2003,,9/4/2006,5/8/2008,3.3945,5.0712,5.7233,8.7342,3,2,11725600,2,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:23098,0,0,1,1,0,0,2.0,1,acquired
552,CA,37.780883,-122.395257,94107,c:314,San Francisco,,Reddit,1,1/1/2005,,6/1/2005,6/1/2005,0.4137,0.4137,6.8329,8.874,9,1,100000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:314,0,1,0,0,0,0,1.0,1,acquired
825,CA,37.566009,-122.321646,94401,c:47270,San Mateo,San Mateo CA 94401,Offermatic,0,2/1/2010,6/1/2013,12/1/2010,3/9/2011,0.8301,1.0986,1.1014,1.1616,6,2,4500000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:47270,0,1,1,0,0,0,3.0,1,closed
1004,CA,37.4027811,-122.1441615,94304,c:6592,Palo Alto,,Hyperic,1,1/1/2004,,5/10/2006,6/5/2007,2.3562,3.4274,3.0027,5.3425,4,2,9900000,2,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:6592,0,0,1,1,0,0,2.0,1,acquired
22,CA,34.005914000000004,-118.488129,90034,c:10610,Los Angeles,,Geodelic Systems,0,1/1/2008,1/1/2011,12/1/2008,9/23/2010,0.9178,2.7288,2.4164,2.7288,8,3,10500000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:10610,1,0,1,1,0,0,2.0,1,closed
1014,CA,34.019657,-118.487549,90401,c:68470,Santa Monica,Santa Monica CA 90401,BlockBeacon,1,1/1/2012,,6/21/2012,6/21/2012,0.4712,0.4712,0.0,0.9178,12,1,500000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:68470,0,1,0,0,0,0,1.0,0,acquired
8,CA,37.390501,-122.081151,94041,c:10197,Mountain View,,PostPath,1,1/1/2003,,12/7/2004,1/16/2007,1.9342,4.0438,2.0027,10.189,2,2,24300000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:10197,0,0,0,1,1,0,2.5,1,acquired
75,CA,37.384239,-122.012475,94085,c:1284,Sunnyvale,,Minekey,0,1/1/2005,8/18/2012,12/1/2006,8/1/2007,1.9151,2.5808,2.0,6.9178,10,2,3600000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:1284,0,1,1,0,0,0,1.0,0,closed
954,CA,37.424298,-122.139809,94306,c:59709,Palo Alto,Palo Alto CA 94306,CafeBots,0,1/1/2010,10/1/2010,10/21/2010,10/21/2010,0.8027,0.8027,0.0,1.411,5,1,5000000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:59709,0,0,1,0,0,0,1.0,1,closed
50,CA,32.897274,-117.201076,92121,c:11888,San Diego,,Avaak,1,1/1/2004,,10/3/2008,3/22/2010,4.7589,6.2247,3.6685,6.2247,2,2,17000000,2,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:11888,0,0,1,1,0,0,3.5,1,acquired
988,NY,40.73901,-73.997259,10011,c:63621,NY,NY NY 10011,Lifestander,0,9/1/2010,6/1/2013,10/2/2010,10/2/2010,0.0849,0.0849,0.0,0.0,1,1,31000,1,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:63621,0,1,0,0,0,0,2.0,0,closed
425,CA,37.451026,-122.18676,94025,c:251,Menlo Park,,Jaxtr,1,10/1/2005,,7/1/2007,6/23/2008,1.7479,2.7288,1.7479,6.1452,16,3,21500000,4,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:251,0,0,1,1,0,0,3.3333,1,acquired
247,NY,37.402802,-122.117418,10004,c:1704,New York,,TravelMuse,1,4/16/2007,,5/1/2007,6/1/2009,0.0411,2.1288,1.7562,4.874,9,3,5600000,4,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:1704,0,0,1,1,0,0,2.0,1,acquired
566,CA,37.7885714,-122.40359850000002,94108,c:3185,San Francisco,,kwiry,0,1/1/2006,4/23/2009,3/20/2008,3/20/2008,2.2164,2.2164,0.7479,3.4164,5,1,1000000,4,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:3185,0,0,1,0,0,0,1.0,1,closed
1123,CA,34.090368,-118.393064,90069,c:9,West Hollywood,,Geni,1,6/1/2006,,1/1/2007,1/19/2009,0.5863,2.6384,3.5425,6.0712,13,3,16500000,4,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:9,0,0,1,1,1,0,1.3333,1,acquired
597,NY,40.70438220000001,-73.98657170000001,10010,c:339,New York,,Outside.in,1,8/1/2006,,2/1/2007,12/8/2009,0.5041,3.3562,3.4219,7.2274,9,5,14400000,5,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:339,0,1,1,1,0,0,5.8,1,acquired
311,CA,37.4233698,-122.09868590000002,94303,c:18897,Palo Alto,,Punch Entertainment,0,5/10/2005,4/16/2012,2/27/2006,2/27/2006,0.8027,0.8027,5.3151,5.3151,4,1,1200000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:18897,0,0,1,0,0,0,1.0,0,closed
